name,player_number,DOB,Position,Nationality,Team
Aaron Ramsdale,32,15-05-1998,Goalkeeper,England,Arsenal FC
Bernd Leno,1,04-03-1992,Goalkeeper,Germany,Arsenal FC
Arthur Okonkwo,33,09-09-2001,Goalkeeper,England,Arsenal FC
Ben White,4,08-10-1997,Centre Back,England,Arsenal FC
Gabriel Magalhaes,6,19-12-1997,Centre Back,Brazil,Arsenal FC
Rob Holding,16,20-09-1995,Centre Back,England,Arsenal FC
Kieran Tierney,3,05-06-1997,Left Back,Scotland,Arsenal FC
Nuno Tavres,20,26-01-2000,Left Back,Portugal,Arsenal FC
Takehiro Tomiyasu,18,05-11-1998,Right Back,Japan,Arsenal FC
Cedric Soares,17,31-08-1991,Right Back,Portugal,Arsenal FC
Thomas Partey,5,13-06-1992,Defensive Midfield,Ghana,Arsenal FC
Granit Xhaka,34,27-09-1992,Defensive Midfield,Switzerland,Arsenal FC
Mohamed Elneny,35,11-07-1992,Defensive Midfield,Egypt,Arsenal FC
Albert Sambi Lokonga,23,22-10-1999,Central Midfield,Belgium,Arsenal FC
Bukayo Saka,7,05-09-2001,Right Midfield,England,Arsenal FC
Martin Odegaard,8,17-12-1998,Attacking Midfield,Norway,Arsenal FC
Emile Smith Rowe,10,28-07-2000,Attacking Midfield,England,Arsenal FC
Gabriel Martinelli,11,18-06-2001,Left Winger,Brazil,Arsenal FC
Nicolas Pepe,19,29-05-1995,Right Winger,Ivory Coast,Arsenal FC
Eddie Nketiah,14,30-05-1999,Centre Forward,England,Arsenal FC
Alexandre Lacazette,9,28-05-1991,Centre Forward,France,Arsenal FC
