name,player_number,DOB,Position,Nationality,Team
Emiliano Martinez,1,02-09-1992,Goalkeeper,Argenntina,Aston Villa
Robin Olsen,25,08-01-1990,Goalkeeper,Sweden,Aston Villa
Jed Steer,12,23-09-1992,Goalkeeper,England,Aston Villa
Tyrone Mings,5,13-03-1993,Centre Back,England,Aston Villa
Ezri Konsa,4,23-10-1997,Centre Back,England,Aston Villa
Calum Chambers,16,20-01-1995,Centre Back,England,Aston Villa
Kortney Hause,30,16-07-1995,Left Back,England,Aston Villa
Lucas Digne,27,20-07-1993,Left Back,France,Aston Villa
Matt Target,3,18-09-1995,Left Back,England,Aston Villa
Ashley Young,18,09-07-1985,Left Back,England,Aston Villa
Matty Cash,2,07-08-1997,Right Back,Poland,Aston Villa
Douglas Luiz,6,09-05-1998,Defensive Midfield,Brazil,Aston Villa
Marvelous Nakamba,19,19-01-1994,Defensive Midfield,Zimbawe,Aston Villa
John McGinn,7,18-10-1994,Central Midfield,Scotland,Aston Villa
Jacob Ramsey,41,28-05-2001,Central Midfield,England,Aston Villa
Morgan Sanson,8,18-08-1994,Central Midfield,France,Aston Villa
Carney Chukwuemeka,33,20-10-2003,Central Midfield,England,Aston Villa
Tim Iroegbunam,47,30-06-2003,Central Midfield,England,Aston Villa
Conor Hourihane,14,02-02-1991,Central Midfield,Ireland,Aston Villa
Leon Bailey,31,09-08-1997,Left Winger,Jamaica,Aston Villa
Phillipe Coutinho,23,12-06-1992,Left Winger,Brazil,Aston Villa
Jaden Philogene Bidace,32,08-02-2002,Left Winger,England,Aston Villa
Emiliano Buendia,10,25-12-1996,Right Winger,Argentina,Aston Villa
Bertrand Traore,15,06-09-1995,Right Winger,Burkina Faso,Aston Villa
Ollie Watkins,11,30-12-1995,Centre Forward,England,Aston Villa
Danny Ings,20,23-07-1992,Centre Forward,England,Aston Villa
Cameron Archer,35,09-12-2001,Centre Forward,England,Aston Villa
Keinan Davis,39,13-02-1998,Centre Forward,England,Aston Villa
