name,player_number,DOB,Position,Nationality,Team
David Raya,1,15-09-1995,Goalkeeper,Spain,Brentford FC
Alvaro Fernandez,40,13-04-1998,Goalkeeper,Spain,Brentford FC
Jonas Lossl,49,01-02-1989,Goalkeeper,Denmark,Brentford FC
Ellery Balcombe,25,15-10-1999,Goalkeeper,Iceleand,Brentford FC
Kristoffer Ajer,20,17-04-1998,Center Back,Norway,Brentford FC
Ethan Pinnock,5,29-05-1993,Center Back,Jamaica,Brentford FC
Pontus Jansson,18,13-02-1991,Center Back,Sweden,Brentford FC
Mads Bech Sorensen,29,07-01-1999,Center Back,Denmark,Brentford FC
Zanka,22,23-04-1990,Center Back,Denmark,Brentford FC
Charlie Goode,4,03-04-1995,Center Back,England,Brentford FC
Julian Jeanvier,23,31-03-1992,Center Back,Guinea,Brentford FC
Rico Henry,3,08-07-1997,Left Back,England,Brentford FC
Dominic Thompson,2,26-07-2000,Left Back,England,Brentford FC
Mads Roerslev Rasmussen,30,24-06-1999,Right Back,Denmark,Brentford FC
Fin Stevens,36,10-04-2003,Right Back,Wales,Brentford FC
Christian Norgaard,6,10-03-1994,Defensive Midfield,Denmark,Brentford FC
Vitaly Janelt,27,10-05-1998,Defensive Midfield,Germany,Brentford FC
Josh Dasilva,10,23-10-1998,Defensive Midfield,England,Brentford FC
Christian Eriksen,21,14-02-1992,Central Midfield,Denmark,Brentford FC
Mathias Jensen,8,01-01-1996,Central Midfield,Denmark,Brentford FC
Frank Onyeka,15,01-01-1998,Central Midfield,Nigeria,Brentford FC
Shandon Baptiste,26,08-04-1998,Central Midfield,Greneda,Brentford FC
Saman Ghoddos,14,06-09-1993,Attacking Midfield,Iran,Brentford FC
Yoana Wissa,11,03-09-1996,Left Winger,DR Congo,Brentford FC
Tariqe Fosu,24,05-11-1995,Left Winger,Ghana,Brentford FC
Bryan Mbeumo,19,07-08-1999,Right Winger,Right Winger,Brentford FC
Sergi Canos,7,02-02-1997,Right Winger,Spain,Brentford FC
Ivan Toney,17,16-03-1996,Center Forward,England,Brentford FC
Marcus Forss,9,18-06-1999,Center Forward,Finland,Brentford FC
