name,player_number,DOB,Position,Nationality,Team
Robert Sanchez,1,18-11-1997,Goalkeeper,Spain,Brighton and Hove Albion
Kjell Scherpen,16,23-01-2000,Goalkeeper,Netherlands,Brighton and Hove Albion
Christian Walton,31,09-11-1995,Goalkeeper,England,Brighton and Hove Albion
Jason Steele,23,18-08-1990,Goalkeeper,England,Brighton and Hove Albion
Tom McGill,38,25-03-2000,Goalkeeper,England,Brighton and Hove Albion
Lewis Dunk,5,21-11-1991,Centre Back,England,Brighton and Hove Albion
Adam Webster,4,04-01-1995,Centre Back,England,Brighton and Hove Albion
Dan Burn,33,09-05-1992,Centre Back,England,Brighton and Hove Albion
Shane Duffy,24,01-01-1992,Centre Back,Ireland,Brighton and Hove Albion
Haydon Roberts,28,10-05-2002,Centre Back,England,Brighton and Hove Albion
Antel Tsoungui,53,30-12-2002,Centre Back,Belgium,Brighton and Hove Albion
Ed Turns,55,18-10-2002,Centre Back,Wales,Brighton and Hove Albion
Odel Offiah,57,26-10-2002,Centre Back,England,Brighton and Hove Albion
Marc Cucurella,3,22-07-1998,Left Back,Spain,Brighton and Hove Albion
James Furlong,54,07-06-2002,Left Back,Ireland,Brighton and Hove Albion
Tariq Lamptey,2,30-09-2000,Right Back,Ghana,Brighton and Hove Albion
Joel Veltman,34,15-01-1992,Right Back,Netherlands,Brighton and Hove Albion
Michal Karbownik,6,13-05-2001,Right Back,Poland,Brighton and Hove Albion
Tudor Baluta,35,27-03-1999,Defensive Midfield,Romania,Brighton and Hove Albion
Yves Bissouma,8,30-07-1996,Central Midfield,Mali,Brighton and Hove Albion
Enock Mwepu,12,01-01-1998,Central Midfield,Zambia,Brighton and Hove Albion
Alexis Mac Allister,10,24-12-1998,Central Midfield,Argentina,Brighton and Hove Albion
Jakub Moder,15,07-04-1999,Central Midfield,Poland,Brighton and Hove Albion
Pascal GroB,13,15-06-1991,Central Midfield,Germany,Brighton and Hove Albion
Moises Caicedo,25,02-11-2001,Central Midfield,Ecuador,Brighton and Hove Albion
Steven Alzate,17,08-09-1998,Central Midfield,Colombia,Brighton and Hove Albion
Taylor Richards,30,04-12-2000,Central Midfield,England,Brighton and Hove Albion
Marc Leonard,42,19-12-2001,Central Midfield,Scotland,Brighton and Hove Albion
Solly March,20,20-07-1994,Left Midfield,England,Brighton and Hove Albion
Jeremy Sarmiento,60,16-06-2002,Attacking Midfield,Ecuador,Brighton and Hove Albion
Adam Lallana,14,10-05-1988,Attacking Midfield,England,Brighton and Hove Albion
Andy Moran,59,15-10-2003,Attacking Midfield,Ireland,Brighton and Hove Albion
Leandro Trossard,11,04-12-1994,Left Winger,Belgium,Brighton and Hove Albion
Neal Maupay,9,14-08-1996,Centre Forward,France,Brighton and Hove Albion
Aaron Connolly,7,29-01-2000,Centre Forward,Ireland,Brighton and Hove Albion
Danny Welback,18,26-11-1990,Centre Forward,England,Brighton and Hove Albion
Andi Zeqiri,19,22-06-1999,Centre Forward,Switzerland,Brighton and Hove Albion
Jurgen Locadia,27,07-11-1993,Centre Forward,Netherlands,Brighton and Hove Albion
Florin Andone,21,11-04-1993,Centre Forward,Romania,Brighton and Hove Albion
Evan Ferguson,58,19-10-2004,Centre Forward,Ireland,Brighton and Hove Albion
