name,player_number,DOB,Position,Nationality,Team
Nick Pope,1,19-04-1992,Goalkeeper,England,Burnley FC
Wayne Hennessey,12,24-01-1987,Goalkeeper,Wales,Burnley FC
Will Norris,25,12-08-1993,Goalkeeper,England,Burnley FC
James Tarkowski,5,19-11-1992,Centre Back,England,Burnley FC
Nathan Collins,22,30-04-2001,Centre Back,Ireland,Burnley FC
Ben Mee,6,21-09-1989,Centre Back,England,Burnley FC
Kevin Long,28,18-08-1990,Centre Back,Ireland,Burnley FC
Charlie Taylor,3,18-09-1993,Left Back,England,Burnley FC
Erik Pieters,23,07-08-1988,Left Back,Netherlands,Burnley FC
Connor Roberts,14,23-09-1995,Right Back,Wales,Burnley FC
Matthew Lowton,2,09-06-1989,Right Back,England,Burnley FC
Phil Bardsley,26,28-07-1985,Right Back,Scotland,Burnley FC
Ashley Westwood,18,01-04-1990,Defensive Midfield,England,Burnley FC
Jack Cork,4,25-06-1989,Defensive Midfield,England,Burnley FC
Josh Brownhill,8,19-12-1995,Central Midfield,England,Burnley FC
Dale Stephens,16,12-06-1989,Central Midfield,England,Burnley FC
Dwight McNeil,11,22-11-1999,Left Winger,England,Burnley FC
Maxwel Cornet,20,27-09-1996,Left Winger,Ireland,Burnley FC
Johann Berg Gudmundsson,7,27-10-1990,Right Winger,Iceland,Burnley FC
Aaron Lennon,17,16-04-1987,Right Winger,England,Burnley FC
Wout Weghorst,9,07-08-1992,Centre Forward,Netherlands,Burnley FC
Jay Rodriguez,19,29-07-1989,Centre Forward,England,Burnley FC
Matej Vydra,27,01-05-1992,Centre Forward,Czech Republic,Burnley FC
Ashley Barnes,10,30-10-1989,Centre Forward,England,Burnley FC
