name,player_number,DOB,Position,Nationality,Team
Edouard Mendy,16,01-03-1992,Goalkeeper,Senegal,Chelsea FC
Kepa Arrizabalaga,1,03-10-1994,Goalkeeper,Spain,Chelsea FC
Marcus Bettinelli,13,24-05-1992,Goalkeeper,England,Chelsea FC
Antonio Rudiger,2,03-03-1993,Centre Back,Germany,Chelsea FC
Andreas Christensen,4,10-04-1996,Centre Back,Denamrk,Chelsea FC
Trevoh Chalobah,14,05-07-1999,Centre Back,England,Chelsea FC
Malang Sarr,31,23-01-1999,Centre Back,France,Chelsea FC
Thiago Silva,6,22-09-1984,Centre Back,Brazil,Chelsea FC
Jake Clarke Salter,35,22-09-1997,Centre Back,England,Chelsea FC
Ben Chillwell,21,21-12-1994,Left Back,England,Chelsea FC
Marcos Alonso,3,28-12-1990,Left Back,Spain,Chelsea FC
Reece James,24,24-12-1999,England,Right Back,Chelsea FC
Cesar Azpilicueta,28,28-08-1989,Right Back,Spain,Chelsea FC
Jorginho,5,20-12-1991,Defensive Midfield,Brazil,Chelsea FC
NGolo Kante,7,29-03-1991,Defensive Midfield,France,Chelsea FC
Mateo Kovacic,8,06-05-1994,Central Midfield,Croatia,Chelsea FC
Saul Niguez,17,21-11-1994,Central Midfield,Spain,Chelsea FC
Ruben Loftus Cheek,12,23-01-1996,Central Midfield,England,Chelsea FC
Ross Barkley,18,05-12-2001,Central Midfield,England,Chelsea FC
Mason Mount,19,10-01-1999,Attacking Midfield,England,Chelsea FC
Kai Havertz,29,11-06-1999,Attacking Midfield,Germany,Chelsea FC
Hakim Ziyech,22,19-03-1993,Attacking Midfield,Morocco,Chelsea FC
Kenedy,23,08-02-1996,Left Winger,Brazil,Chelsea FC
Christian Pulisic,10,18-09-1998,Right Winger,USA,Chelsea FC
Callum Hudson Odoi,20,07-11-2000,Right Winger,England,Chelsea FC
Romelu Lukaku,9,13-05-1993,Centre Forward,Belgium,Chelsea FC
Timo Werner,11,06-03-1996,Centre Forward,Germany,Chelsea FC
