name,player_number,DOB,Position,Nationality
Jack Butland,1,10-05-1993,Goalkeeper,England
Vicente Guaita,13,10-01-1987,Goalkeeper,Spain
Remi Matthews,19,10-02-1994,Goalkeeper,England
Marc Guehi,6,13-07-2000,Center Back,England
Joachim Andersen,16,31-05-1996,Center Back,Denmark
Nathan Ferguson,36,06-10-2000,Center Back,England
James Tomkins,5,29-03-1989,Center Back,England
Jaroslaw Jach,33,17-02-1994,Center Back,Poland
Tyrick Mitchell,3,01-09-1999,Left Back,England
Joel Ward,2,29-10-1989,Right Back,England
Nathaniel Clyne,17,05-04-1991,Right Back,England
Martin Kelly,34,27-04-1990,Right Back,England
Jairo Reidewald,44,09-09-1996,Defensive Midfield,Netherlands
Luka Milivojevic,4,07-04-1991,Defensive Midfield,Serbia
Cheikhou Kouyate,8,21-12-1989,Defensive Midfield,Sengal
Will Hughes,12,17-04-1995,Central Midfield,England
James McArthur,18,07-10-1987,Central Midfield,Scotland
Michael Olise,7,12-12-2001,Right Midfield,France
Jeffrey Schlupp,15,23-12-1992,Left Midfield,Ghana
Eberechi Eze,10,29-06-1998,Attacking Midfield,England
Wilfried Zaha,11,10-11-1992,Left Winger,Cote dIvoire
Odsonne Edouard,22,16-01-1998,Centre Forward,France
Jean Philippe Mateta,14,28-06-1997,Centre Forward,France
Jordan Ayew,9,11-09-1991,Centre Forward,Ghana
Christian Benteke,20,03-12-1990,Centre Forward,Belgium
