name,player_number,DOB,Position,Nationality,Team
Jordan Pickford,1,07-03-1994,Goalkeeper,England,Everton
Asmir Bggovic,15,20-06-1987,Goalkeeper,Canada,Everton
Andy Lonergan,31,19-10-1983,Goalkeeper,England,Everton
Michael Keane,5,11-01-1993,Centre back,England,Everton
Yerry Mina,13,23-09-1994,Centre back,Colombia,Everton
Ben Godfrey,22,15-01-1998,Centre back,England,Everton
Mason Holgate,4,22-10-1996,Centre back,England,Everton
Jarrad Branthwaith,32,27-06-2002,Centre back,England,Everton
Vitaliy Mykolenko,19,29-05-1999,Left Back,Ukraine,Everton
Nathan Patterson,3,16-10-2001,Right Back,Scotland,Everton
Jonjow Kenny,2,15-03-1997,Right Back,England,Everton
Seamus Coleman,23,11-10-1988,Right Back,Ireland,Everton
"Allan	",6,08-01-1991,Defensive Midfield,Brazil,Everton
Abdoulaye Doucoure,16,01-01-1993,Central Midfield,Mali,Everton
Andre Gomez,21,30-06-1993,Central Midfield,Portugal,Everton
Tom Davis,26,30-06-1998,Central Midfield,England,Everton
Fabian Delph,8,21-11-1989,Central Midfield,England,Everton
Alex Iwobi,17,03-05-1996,Attacking Midfield,Nigeria,Everton
Dele Alli,36,11-04-1996,Attacking Midfield,England,Everton
Gylfi Sigurdsson,10,08-09-1989,Attacking Midfield,Iceland,Everton
Demarain Grey,11,28-06-1996,Left Winger,England,Everton
Anthony Gordon,24,24-02-2001,Left Winger,England,Everton
Anwar El Ghazi,34,03-05-1995,Right Winger,Netherlands,Everton
Andros Townsend,14,16-07-1991,Right Winger,England,Everton
Richarlison,7,10-05-1997,Centre Forward,Brazil,Everton
Dominic Calvert-Lewin,9,16-03-1997,Centre Forward,England,Everton
Salomon Rondon,33,07-06-1989,Centre Forward,Venezuela,Everton
Cenk Tosun,28,07-06-1991,Centre Forward,Turkey,Everton
