name,player_number,DOB,Position,Nationality
Illan Meslier,1,02-03-2000,Goalkeeper,France
Kristoffer Klasson,13,27-11-2000,Goalkeeper,Norway
Diego Llorente,14,16-08-1993,Centre Back,Spain
Robin Koch,5,17-06-1996,Centre Back,Germany
Pascal Struijk,21,11-08-1999,Centre Back,Netherlands
Liam Cooper,6,30-09-1991,Centre Back,Scotland
Charlie Cresswell,35,17-08-2002,Centre Back,England
Junior Firpo,3,22-08-1996,Left Back,Dominican Republic
Leo Fuhr Hjelde,33,26-08-2003,Left Back,Norway
Liam McCarron,45,07-03-2001,Left Back,Scotland
Luke Ayling,2,25-08-1991,Right Back,England
Stuart Dallas,15,19-04-1991,Right Back,Ireland
Kevin Phillips,23,02-12-1995,Defensive Midfield,England
Mateusz Klich,43,13-06-1990,Central Midfield,Poland
Jamie Shackleton,46,08-10-1999,Central Midfield,England
Adam Foreshaw,4,08-10-1991,Central Midfield,England
Jack Harrison,22,20-11-1996,Left Winger,England
Raphinha,10,14-12-1996,Right Winger,Brazil
Daniel James,20,10-11-1997,Right Winger,Wales
Crysencio Summerville,38,30-10-2001,Right Winger,Netherlands
Rodrigo,19,06-03-1991,Second Striker,Spain
Patrick Bamford,9,05-09-1993,Centre Forward,England
Tyler Roberts,11,12-01-1999,Centre Forward,Wales
Joe Gelhardt,30,04-05-2002,Centre Forward,England
Sam Greenwood,42,26-01-2002,Centre Forward,England
