name,player_number,DOB,Position,Nationality,Team
Danny Ward,12,22-07-1993,Goalkeeper,Wales,Leicester City
Kasper Schmeichel,1,05-11-1986,Goalkeeper,Denmark,Leicester City
Eldin Jakupovic,35,02-10-1984,Goalkeeper,Switzerland,Leicester City
Wesley Fofana,3,17-12-2000,Centre Back,France,Leicester City
Caglar Soyuncu,4,23-05-1996,Centre Back,Turkey,Leicester City
Jannik Vestergaard,23,03-08-1992,Centre Back,Denmark,Leicester City
Daniel Amartey,18,21-12-1994,Centre Back,Ghana,Leicester City
Johnny Evnas,6,03-01-1988,Centre Back,Ireland,Leicester City
Sam Hughes,41,15-04-1997,Centre Back,England,Leicester City
Luke Thomas,33,10-06-2001,Left Back,England,Leicester City
Ryna Bertrand,5,05-08-1989,Left Back,England,Leicester City
Timothy Castagne,27,05-12-1995,Right Back,Belgium,Leicester City
James Justin,2,23-02-1998,Right Back,England,Leicester City
Ricardo Pereira,21,06-10-1993,Right Back,Portugal,Leicester City
Wilfred Ndidi,25,16-12-1996,Defensive Midfield,Nigeria,Leicester City
Boubakary Soumare,42,27-02-1999,Defensive Midfield,France,Leicester City
Nampalys Mendy,24,23-06-1992,Defensive Midfield,Senegal,Leicester City
Youri Tielemans,8,07-05-1997,Central Midfield,Belgium,Leicester City
Hamza Choudhury,20,01-10-1997,Central Midfield,England,Leicester City
Marc Albrighton,11,18-11-1989,Right Midfield,England,Leicester City
Harvey Barnes,7,09-12-1997,Left Midfield,England,Leicester City
James Maddison,10,23-11-1996,Attacking Midfiled,England,Leicester City
Ademola Lookman,37,20-10-1997,Left Winger,Nigeria,Leicester City
Ayoze Perez,17,29-07-1993,Second Striker,Spain,Leicester City
Kelechi Iheanacho,14,03-10-1996,Centre Forward,Nigeria,Leicester City
Patson Daka,29,09-10-1998,Centre Forward,Zambia,Leicester City
Jamie Vardy,9,11-01-1987,Centre Forward,England,Leicester City
