name,player_number,DOB,Position,Nationality,Team
Alisson,1,02-10-1992,Goalkeeper,Brazil,Liverpool FC
Caoimhin Kelleher,62,23-11-1998,Goalkeeper,Ireland,Liverpool FC
Loris Karius,22,22-06-1993,Goalkeeper,Germany,Liverpool FC
Adrian,13,03-01-1987,Goalkeeper,Spain,Liverpool FC
Virgil Van Dijk,4,08-07-1991,Centre Back,Netherlands,Liverpool FC
Ibrahima Konate,5,25-05-1999,Centre Back,France,Liverpool FC
Joe Gomez,12,23-05-1997,Centre Back,England,Liverpool FC
Joel Matip,32,08-08-1991,Centre Back,Cameroon,Liverpool FC
Nathaneil Phillips,47,21-05-1997,Centre Back,England,Liverpool FC
Sepp Van Den Berg,72,20-12-2001,Centre Back,Netherlands,Liverpool FC
Rhys Williams,46,03-02-2001,Centre Back,England,Liverpool FC
Ben Davies,28,11-08-1995,Centre Back,England,Liverpool FC
Andrew Robertson,26,11-03-1994,Left Back,Scotland,Liverpool FC
Konstantinos Tsimikas,21,12-05-1996,Left Back,Greece,Liverpool FC
Trent Alexander Arnold,66,07-10-1998,Right Back,England,Liverpool FC
Neco Williams,76,13-04-2001,Right Back,Wales,Liverpool FC
Fabinho,3,23-10-1993,Defensive Midfield,Brazil,Liverpool FC
Curtis Jones,17,30-01-2001,Central Midfield,England,Liverpool FC
Naby Keita,8,10-02-1995,Central Midfield,Guinea,Liverpool FC
Thiago,6,11-04-1991,Central Midfield,Spain,Liverpool FC
Alex Oxlade Chamberlain,15,15-08-1993,Central Midfield,England,Liverpool FC
Jordan Henderson,14,17-06-1990,Central Midfield,England,Liverpool FC
James Milner,7,04-01-1986,Central Midfield,England,Liverpool FC
Harvey Elliot,67,04-04-2003,Attacking Midfield,England,Liverpool FC
Ben Woodburn,58,15-10-1999,Attacking Midfield,Wales,Liverpool FC
Sadio Mane,10,10-04-1992,Left Winger,Senegal,Liverpool FC
Luis Diaz,23,13-01-1997,Left Winger,Colombia,Liverpool FC
Diogo Jota,20,04-12-1996,Left Winger,Portugal,Liverpool FC
Takumi Minamino,18,16-01-1995,Left Winger,Japan,Liverpool FC
Sheyi Ojo,54,19-06-1997,Left Winger,England,Liverpool FC
Mohamed Salah,11,15-06-1992,Right Winger,Egypt,Liverpool FC
Roberto Firmino,9,02-10-1991,Centre Forward,Brazil,Liverpool FC
Divock Origi,27,18-04-1995,Centre Forward,Belgium,Liverpool FC
