name,player_number,DOB,Position,Nationality,Team
Ederson Moraes,31,17-08-1993,Goalkeeper,Brazil,Manchester City
Zack Steffen,13,02-04-1995,Goalkeeper,USA,Manchester City
Scott Carson,33,03-09-1985,Goalkeeper,England,Manchester City
Ruben Dias,3,14-05-1997,Center Back,Portugal,Manchester City
Aymeric Laporte,14,27-05-1994,Center Back,Spain,Manchester City
John Stones,5,28-05-1994,Center Back,England,Manchester City
Nathan Ake,6,18-02-1995,Center Back,Netherlands,Manchester City
Oleksandr Zinchenko,11,15-12-1996,Left Back,Ukraine,Manchester City
Benjamin Mendy,22,17-07-1994,Left Back,France,Manchester City
Joao Cancelo,27,27-05-1994,Right Back,Portugal,Manchester City
Kyle Walker,2,28-05-1990,Right Back,England,Manchester City
Rodri,16,22-06-1996,Defensive Midfield,Spain,Manchester City
Fernandinho,25,04-05-1985,Defensive Midfield,Brazil,Manchester City
Phil Foden,47,28-05-2000,Central Midfield,England,Manchester City
Ilkay Gundogan,8,24-10-1990,Central Midfield,Germany,Manchester City
Kevin De Bruyne,17,28-06-1991,Attacking Midfield,Belgium,Manchester City
Bernardo Silva,20,10-08-1994,Attacking Midfield,Portugal,Manchester City
Cole Palmer,80,06-05-2002,Attacking Midfield,England,Manchester City
Raheem Sterling,7,08-12-1994,Left Winger,England,Manchester City
Jack Grealish,10,10-09-1995,Left Winger,England,Manchester City
Riyad Mahrez,26,21-02-1991,Right Winger,Algeria,Manchester City
Gabriel Jesus,9,03-04-1997,Centre Forward,Brazil,Manchester City
