name,player_number,DOB,Position,Nationality,Team
Dean Henderson,26,12-03-1997,Goalkeeper,England,Manchester United
David De Gea,1,07-11-1990,Goalkeeper,Spain,Manchester United
Tom Heaton,22,15-04-1986,Goalkeeper,England,Manchester United
Lee Grant,13,27-01-1983,Goalkeeper,England,Manchester United
Raphael Varane,19,25-04-1993,Centre Back,France,Manchester United
Harry Maguire,5,05-03-1993,Centre Back,England,Manchester United
Victor Lindelof,2,17-06-1994,Centre Back,Sweden,Manchester United
Eric Bailly,3,12-04-1994,Centre Back,Cote dIvoire,Manchester United
Phil Jones,4,21-02-1992,Centre Back,England,Manchester United
Teden Mengi,43,30-04-2002,Centre Back,England,Manchester United
Luke Shaw,23,12-07-1995,Left Back,England,Manchester United
Alex Telles,27,15-12-1992,Left Back,Brazil,Manchester United
Brandon Williams,33,03-09-2000,Left Back,England,Manchester United
Aaron Wan Bissaka,29,26-11-1997,Right Back,England,Manchester United
Diogo Dalot,20,18-03-1999,Right Back,Portugal,Manchester United
Scott McTominay,39,08-12-1996,Defensive Midfield,Scotland,Manchester United
James Garner,37,13-03-2001,Defensive Midfield,England,Manchester United
Nemanja Matic,31,01-08-1988,Defensive Midfield,Serbia,Manchester United
Paul Pogba,6,15-03-1993,Central Midfield,France,Manchester United
Donny Van De Beek,34,18-04-1997,Central Midfield,Netherlands,Manchester United
Fred,17,05-03-1993,Central Midfield,Brazil,Manchester United
Bruno Fernandes,18,08-09-1994,Attacking Midfield,Portugal,Manchester United
Jesse Lingard,14,15-12-1992,Attacking Midfield,England,Manchester United
Hannibal Mejbri,46,21-01-2003,Attacking Midfield,Tunisia,Manchester United
Juan Mata,8,28-04-1988,Attacking Midfield,Spain,Manchester United
Jadon Sancho,25,25-03-2000,Left Winger,England,Manchester United
Marcus Rashford,10,31-10-1997,Left Winger,England,Manchester United
Anthony Elanga,36,27-04-2002,Left Winger,Sweden,Manchester United
Amad Diallo,16,11-07-2002,Right Winger,Cote dIvoire,Manchester United
Shola Shoretire,47,02-02-2004,Right Winger,England,Manchester United
Tahith Chong,44,04-12-1999,Right Winger,Netherlands,Manchester United
Mason Greenwood,11,01-10-2001,Right Winger,England,Manchester United
Cristiano Ronaldo,7,05-02-1985,Centre Forward,Portugal,Manchester United
Edinson Cavani,21,14-02-1987,Centre Forward,Uruguay,Manchester United
Anthony Martial,9,05-12-1995,Centre Forward,France,Manchester United
