name,player_number,DOB,Position,Nationality,Team
Martin Dubravka,1,15-01-1989,Goalkeeper,Slovakia,Newcastle United
Karl Darlow,26,08-10-1990,Goalkeeper,England,Newcastle United
Mark Gillespie,29,27-03-1992,Goalkeeper,England,Newcastle United
Dan Burn,33,09-05-1992,Centre Back,England,Newcastle United
Jamaal Lascelles,6,11-11-1993,Centre Back,England,Newcastle United
Fabian Sch?,5,20-12-1991,Centre Back,Switzerland,Newcastle United
Ciaran Clark,2,26-09-1989,Centre Back,Ireland,Newcastle United
Federico Fern?dez,18,21-02-1989,Centre Back,Argentina,Newcastle United
Jamal Lewis,12,25-01-1998,Left Back,Nothern Ireland,Newcastle United
Paul Dummett,3,26-09-1991,Left Back,Wales,Newcastle United
Kieran Trippier,15,19-09-1990,Right Back,England,Newcastle United
Emil Krafth,17,02-08-1994,Right Back,Sweden,Newcastle United
Javier Manquillo,19,05-05-1994,Right Back,Spain,Newcastle United
Bruno Guimaraes,39,16-11-1997,Defensice Midfield,Brazil,Newcastle United
Isaac Hayden,14,22-03-1995,Defensice Midfield,England,Newcastle United
Joe Willock,28,20-08-1999,Central Midfield,England,Newcastle United
Sean Longstaff,36,30-10-1997,Central Midfield,England,Newcastle United
Jonjo Shelvey,8,27-02-1992,Central Midfield,England,Newcastle United
Jeff Hendrick,16,31-01-1992,Central Midfield,Central Midfield,Newcastle United
Matty Longstaff,4,21-03-2000,Central Midfield,England,Newcastle United
Matt Ritchie,11,10-09-1989,Right Midfield,Scotland,Newcastle United
Joelinton,7,14-08-1996,Attacking Midfield,Brazil,Newcastle United
Miguel Almir?,24,10-02-1994,Attacking Midfield,Paraguay,Newcastle United
Allan Saint-Maximin,10,12-03-1997,Left Winger,France,Newcastle United
Ryan Fraser,21,24-02-1994,Left Winger,Scotland,Newcastle United
Jacob Murphy,23,24-02-1995,Right Winger,England,Newcastle United
Callum Wilson,9,27-02-1992,Centre Forward,England,Newcastle United
Chris Wood,20,07-12-1991,Centre Forward,New Zealand,Newcastle United
Dwight Gayle,34,17-10-1989,Centre Forward,England,Newcastle United
