name,player_number,DOB,Position,Nationality,Team
Angus Gunn,28,22-01-1996,Goalkeeper,England,Norwich City
Tim Krul,1,03-04-1988,Goalkeeper,Netherlands,Norwich City
Michael McGovern,33,12-07-1984,Goalkeeper,Nothern Ireland,Norwich City
Daniel Barden,37,02-01-2001,Goalkeeper,Wales,Norwich City
Ben Gibson,6,15-01-1993,Centre Back,England,Norwich City
Grant Hanley,5,20-11-1991,Centre Back,Scotland,Norwich City
Andrew Omobamidele,4,23-06-2002,Centre Back,Ireland,Norwich City
Jonathan Tomkinson,45,11-04-2002,Centre Back,USA,Norwich City
Dimitrios Giannoulis,30,17-10-1995,Left Back,Greece,Norwich City
Sam McCallum,15,02-09-2000,Left Back,England,Norwich City
Max Aarons,2,04-01-2000,Right Back,England,Norwich City
Sam Byram,3,16-09-1993,Right Back,England,Norwich City
Jacob Lungi Sorensen,19,03-03-1998,Defensive Midfield,Denmark,Norwich City
Kenny McLean,23,08-01-1992,Central Midfield,Scotland,Norwich City
Liam Gibbs,46,16-12-2002,Central Midfield,England,Norwich City
Todd Cantwell,14,27-02-1998,Left Midfield,England,Norwich City
Kieran Dowell,10,10-10-1997,Attacking Midfield,England,Norwich City
Jonathan Rowe,27,30-04-2003,Attacking Midfield,England,Norwich City
Onel Hernandez,25,01-02-1993,Left Winger,Cuba,Norwich City
Danel Sinani,21,05-04-1997,Right Winger,Luxemborg,Norwich City
Josh Sargent,24,20-02-2000,Centre Forward,USA,Norwich City
Teemu Pukki,22,29-03-1990,Centre Forward,Finland,Norwich City
Adam Idah,11,11-02-2001,Centre Forward,Ireland,Norwich City
Jordan Hugill,9,04-06-1992,Centre Forward,England,Norwich City
