name,player_number,DOB,Position,Nationality,Team
Alex McCarthy,1,03-12-1989,Goalkeeper,England,Southampton FC
Fraser Forster,44,17-03-1988,Goalkeeper,England,Southampton FC
Willy Caballero,13,28-09-1981,Goalkeeper,Argentina,Southampton FC
Harry Lewis,41,20-12-1997,Goalkeeper,England,Southampton FC
Jan Bednarek,35,12-04-1996,Centre Back,Poland,Southampton FC
Mohammed Salisu,22,17-04-1999,Centre Back,Ghana,Southampton FC
Jack Stephens,5,27-01-1994,Centre Back,England,Southampton FC
Lyanco,4,01-02-1997,Centre Back,Brazil,Southampton FC
Romain Perraud,15,22-09-1997,Left Back,France,Southampton FC
Tino Livramento,21,12-11-2002,Right Back,England,Southampton FC
Kyle Walker Peters,2,13-04-1997,Right Back,England,Southampton FC
Yan Valery,43,22-02-1999,Right Back,Tunisia,Southampton FC
Ibrahima Diallo,27,08-03-1999,Defensive Midfield,France,Southampton FC
Oriol Romeu,6,24-09-1991,Defensive Midfield,Spain,Southampton FC
James Ward Prowse,8,01-11-1994,Central Midfield,England,Southampton FC
Stuart Armstrong,17,30-03-1992,Central Midfield,Scotland,Southampton FC
Will Smallbone,20,21-02-2000,Central Midfield,Italy,Southampton FC
Nathan Redmond,11,06-03-1994,Left Winger,England,Southampton FC
Mohamed Elyounoussi,24,04-08-1994,Left Winger,Norway,Southampton FC
Moussa Djenepo,19,15-06-1998,Left Winger,Mali,Southampton FC
Theo Walcott,32,16-03-1989,Right Winger,England,Southampton FC
Che Adams,10,10-09-2001,Centre Forward,Scotland,Southampton FC
Adam Armstrong,9,10-02-1997,Centre Forward,England,Southampton FC
Shane Long,7,22-01-1987,Centre Forward,Ireland,Southampton FC
