name,player_number,DOB,Position,Nationality,Team
Peirluigi Gollini,22,18-03-1995,Goalkeeper,Italy,Tottenham Hotspur
Hugo Lloris,1,26-12-1986,Goalkeeper,France,Tottenham Hotspur
Brandon Austin,40,08-01-1999,Goalkeeper,England,Tottenham Hotspur
Cristian Romero,4,27-04-1998,Centre Back,Argentina,Tottenham Hotspur
Davinson Sanchez,6,12-06-1996,Centre Back,Colombia,Tottenham Hotspur
Eric Dier,15,15-01-1994,Centre Back,England,Tottenham Hotspur
Japhet Tanganga,25,31-03-1999,Centre Back,England,Tottenham Hotspur
Joe Rodon,14,22-10-1997,Centre Back,England,Tottenham Hotspur
Cameron Carter Vickers,20,31-12-1997,Centre Back,USA,Tottenham Hotspur
Sergio Reguilon,3,16-12-1996,Left Back,Spain,Tottenham Hotspur
Ben Davies,33,24-04-1993,Left Back,Wales,Tottenham Hotspur
Emerson Royal,12,14-01-1999,Right Back,Brazil,Tottenham Hotspur
Matt Doherty,2,16-01-1992,Right Back,Ireland,Tottenham Hotspur
Oliver Skipp,29,16-09-2000,Defensive Midfield,England,Tottenham Hotspur
Harry Winks,8,02-02-1996,Defensive Midfield,England,Tottenham Hotspur
Pierre Emile Hojbjerg,5,05-08-1995,Central Midfield,Denmark,Tottenham Hotspur
Rodrigo Bentancur,30,25-06-1997,Central Midfield,Uruguay,Tottenham Hotspur
Ryan Sessegnon,19,18-05-2000,Left Midfield,England,Tottenham Hotspur
Heung min Son,7,08-07-1992,Left Winger,South Korea,Tottenham Hotspur
Steven Bergwijn,23,08-10-1997,Left Winger,Netherlands,Tottenham Hotspur
Jack Clarke,47,23-11-2000,Left Winger,England,Tottenham Hotspur
Dejan Kulusevski,21,25-04-2000,Right Winger,Sweden,Tottenham Hotspur
Lucas Moura,27,13-08-1992,Right Winger,Brazil,Tottenham Hotspur
Harry Kane,10,28-07-1993,Centre Forward,England,Tottenham Hotspur
