name,player_number,DOB,Position,Nationality,Team
Daniel Bachmann,26,09-07-1994,Goalkeeper,Austria,Watford FC
Ben Foster,1,03-04-1983,Goalkeeper,England,Watford FC
Rob Elliot,35,30-04-1986,Goalkeeper,Ireland,Watford FC
Samir Caetano,22,05-12-1994,Centre Back,Brazil,Watford FC
William Troost Ekong,5,01-09-1993,Centre Back,Nigeria,Watford FC
Christian Kabasele,27,23-02-1991,Centre Back,Germany,Watford FC
Nicolas NKoulou,13,27-03-1990,Centre Back,Cameroon,Watford FC
Franscisco Sierralta,31,06-05-1997,Centre Back,Chile,Watford FC
Craig Cathcart,15,06-02-1989,Centre Back,Northern Ireland,Watford FC
Hassane Kamara,14,05-03-1994,Left Back,Ireland,Watford FC
Adam Masina,11,02-01-1994,Left Back,Morocco,Watford FC
Danny Rose,3,02-07-1990,Left Back,England,Watford FC
Jeremy Ngakia,2,07-09-2000,Right Back,DR Congo,Watford FC
Kiko Femenia,21,02-02-1991,Right Back,Spain,Watford FC
Edo Kayembe,39,03-06-1998,Defensive Midfield,DR Congo,Watford FC
Imran Louza,6,01-05-1999,Central Midfield,Morocco,Watford FC
Moussa Sissoko,19,16-08-1989,Central Midfield,France,Watford FC
Domingos Quina,20,18-11-1999,Central Midfield,Portugal,Watford FC
Tom Cleverley,8,12-08-1989,Central Midfield,England,Watford FC
Juraj Kucka,33,26-02-1987,Central Midfield,Slovakia,Watford FC
Dan Gosling,16,01-02-1990,Central Midfield,England,Watford FC
Ken Sema,12,30-09-1993,Left Midfield,Sweden,Watford FC
Kwadwo Baah,34,27-01-2003,Left Winger,Germany,Watford FC
Ismaila Sarr,23,25-02-1998,Right Winger,Senegal,Watford FC
Samuel Kalu,28,26-09-1997,Right Winger,Nigeria,Watford FC
Joao Pedro,10,26-09-2001,Right Winger,Brazil,Watford FC
Emmanuel Dennis,25,15-11-1997,Centre Forward,Nigeria,Watford FC
Cucho Hernandez,29,20-04-1999,Centre Forward,Colombia,Watford FC
Joshua King,7,15-01-1992,Centre Forward,Norway,Watford FC
