name,player_number,DOB,Position,Nationality,Team
Alphonse Areola,13,27-02-1993,Goalkeeper,France,West Ham United
Lukasz Fabianski,1,18-04-1985,Goalkeeper,Poland,West Ham United
Darren Randolph,35,12-05-1987,Goalkeeper,Ireland,West Ham United
David Martin,25,22-01-1986,Goalkeeper,England,West Ham United
Kurt Zouma,4,27-10-1994,Centre Back,France,West Ham United
Issa Diop,23,09-01-1997,Centre Back,France,West Ham United
Craig Dawson,15,06-05-1990,Centre Back,England,West Ham United
Angelo Ogbonna,21,23-05-1988,Centre Back,Italy,West Ham United
Aji Alese,42,17-01-2001,Centre Back,England,West Ham United
Arthur Masuaku,26,07-11-1993,Left Back,DR Congo,West Ham United
Aaron Cresswell,3,15-12-1989,Left Back,England,West Ham United
Vladimir Coufal,5,22-08-1992,Right Back,Czech Republic,West Ham United
Ben Johnson,31,24-01-2000,Right Back,England,West Ham United
Ryan Fredericks,24,10-10-1992,Right Back,England,West Ham United
Declan Rice,41,14-01-1999,Defensive Midfield,England,West Ham United
Tomas Soucek,28,27-02-1995,Defensive Midfield,Czech Republic,West Ham United
Alex Kral,33,19-05-1998,Defensive Midfield,Czech Republic,West Ham United
Conor Coventry,54,25-03-2000,Defensive Midfield,Ireland,West Ham United
Mark Noble,16,09-05-1987,Central Midfield,England,West Ham United
Pablo Fornals,8,22-02-1996,Attacking Midfield,Spain,West Ham United
Nikola Vlasic,11,04-10-1997,Attacking Midfield,Croatia,West Ham United
Manuel Lanzini,10,15-02-1993,Attacking Midfield,Argentina,West Ham United
Said Benrahma,27,10-08-1995,Left Winger,Algeria,West Ham United
Jarrod Bowen,20,20-12-1996,Right Winger,England,West Ham United
Andriy Yarmolenko,7,23-10-1989,Right Winger,Ukraine,West Ham United
Michail Antonio,9,28-03-1990,Centre Forward,Jamaica,West Ham United
