name,player_number,DOB,Position,Nationality,Team
Jose Sa,1,17-01-1993,Goalkeeper,Portugal,Wolverhampton Wanderers
John Ruddy,21,24-10-1986,Goalkeeper,England,Wolverhampton Wanderers
Louie Moulden,13,06-01-2002,Centre Back,England,Wolverhampton Wanderers
Conor Coady,16,25-02-1993,Centre Back,England,Wolverhampton Wanderers
Max Kilman,23,23-05-1997,Centre Back,England,Wolverhampton Wanderers
Roman Saiss,27,26-03-1997,Centre Back,Morocco,Wolverhampton Wanderers
Willy Boly,15,03-02-1991,Centre Back,Cote dIvory,Wolverhampton Wanderers
Yerson Mosquera,14,02-05-2001,Centre Back,Colombia,Wolverhampton Wanderers
Toti,24,16-01-1999,Centre Back,Portugal,Wolverhampton Wanderers
Rayan Ait Nouri,3,06-06-2001,Left Back,France,Wolverhampton Wanderers
Jonny Otto,19,03-03-1994,Left Back,Spain,Wolverhampton Wanderers
Marcal,5,19-02-1989,Left Back,Brazil,Wolverhampton Wanderers
Nelson Semedo,22,16-11-1993,Right Back,Brazil,Wolverhampton Wanderers
Ki Jana Hoever,2,18-01-2002,Right Back,Netherlands,Wolverhampton Wanderers
Ruben Neves,8,13-03-1997,Defensive Midfield,Portugal,Wolverhampton Wanderers
Leander Dendoncker,32,15-04-1995,Defensive Midfield,Belgium,Wolverhampton Wanderers
Joao Moutinho,28,08-09-1986,Central Midfield,Portugal,Wolverhampton Wanderers
Luke Cundle,39,26-04-2002,Central Midfield,England,Wolverhampton Wanderers
Connor Ronan,56,06-03-1998,Central Midfield,Ireland,Wolverhampton Wanderers
Morgan Gibbs-White,18,27-01-2000,Central Midfield,England,Wolverhampton Wanderers
Pedro Neto,7,09-03-2000,Left Winger,Portugal,Wolverhampton Wanderers
Chiquinho,20,05-02-2000,Left Winger,Portugal,Wolverhampton Wanderers
Daniel Podence,10,21-10-1995,Right Winger,Portugal,Wolverhampton Wanderers
Francisco Trincao,11,29-12-1999,Right Winger,Portugal,Wolverhampton Wanderers
Raul Jimenez,9,05-05-1991,Centre Forward,Mexico,Wolverhampton Wanderers
Hee chan Hwang,26,26-01-1996,Centre Forward,South Korea,Wolverhampton Wanderers
Fabio Silva,17,19-07-2002,Centre Forward,Portugal,Wolverhampton Wanderers
