player_number,name,goals,assists,appearances,yellow_cards,red_cards
26,Daniel Bachmann,0,0,12,0,0
1,Ben Foster,0,0,26,0,0
35,Rob Elliot,0,0,0,0,0
22,Samir Caetano,0,0,19,4,0
5,Willian Troost Ekong,0,0,17,3,0
27,Christian Kabasele,0,0,16,0,0
13,Nicolas Nkoulou,0,0,3,0,0
31,Franciso Sierralta,0,0,5,0,0
15,Craig Cathcart,0,1,31,3,0
14,Hassane Kamara,1,0,19,3,1
11,Adam Masina,0,1,15,0,0
3,Danny Rose,0,0,8,4,0
2,Jeremy Ngakia,0,0,16,0,0
21,Kiko Femenia,0,5,27,2,0
39,Edo Kayembe,0,0,13,0,0
6,Imran Louza,0,0,20,6,0
19,Moussa Sissoko,2,1,36,5,0
20,Dommingos Quina,2,0,16,4,0
8,Tom Cleverley,0,2,28,2,0
33,Juraj Kucka,1,1,26,3,1
16,Dan Gosling,1,0,4,0,0
12,Ken Sema,0,0,18,1,0
34,Kwadwo Baah,0,0,3,0,0
23,Ismaila Sarr,5,2,22,2,0
28,Samuel Kalu,0,0,4,0,0
10,Joao Pedro,3,1,28,1,0
25,Emmanuel Dennis,10,6,33,7,1
29,Cucho Hernandez,5,2,25,3,0
7,Joshua King,5,3,32,5,0
