player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
32,Aaron Ramsdale,0,0,34,0,0,Arsenal FC
1,Bernd Leno,0,0,4,0,0,Arsenal FC
33,Arthur Okonkwo,0,0,0,0,0,Arsenal FC
4,Ben White,0,0,32,0,0,Arsenal FC
6,Gabriel Magalhaes,5,0,35,6,1,Arsenal FC
16,Rob Holding,1,0,15,2,1,Arsenal FC
3,Kieran Tierney,1,3,22,0,0,Arsenal FC
20,Nuno Tavres,1,1,22,2,0,Arsenal FC
18,Takehiro Tomiyasu,0,1,21,2,0,Arsenal FC
17,Cedric  Soares,1,1,21,3,0,Arsenal FC
5,Thomas Partey,2,1,24,6,0,Arsenal FC
34,Granit Xhaka,1,2,27,10,1,Arsenal FC
35,Mohamed Elneny,0,2,14,1,0,Arsenal FC
23,Albert Sambi Lokonga,0,0,19,5,0,Arsenal FC
7,Bukayo Saka,11,7,38,6,0,Arsenal FC
8,Martin Odegaard,7,4,36,4,0,Arsenal FC
10,Emile Smith Rowe,10,2,33,1,0,Arsenal FC
11,Gabriel Martinelli,6,6,29,1,1,Arsenal FC
19,Nicolas Pepe,1,2,20,0,0,Arsenal FC
14,Eddie Nketiah,5,1,21,3,0,Arsenal FC
9,Alexandre Lacazette,4,7,30,0,0,Arsenal FC
