player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Emiliano Martinez,0,0,36,4,0,Aston Villa
25,Robin Olsen,0,0,1,0,0,Aston Villa
12,Jed Steer,0,0,1,0,0,Aston Villa
5,Tyrone Mings,1,3,36,11,0,Aston Villa
4,Ezri Konsa,2,0,29,4,2,Aston Villa
16,Calum Chambers,1,0,13,1,0,Aston Villa
30,Kortney Hause,0,0,0,0,0,Aston Villa
27,Lucas Digne,0,4,29,6,0,Aston Villa
3,Matt Target,0,0,0,0,0,Aston Villa
18,Ashley Young,0,2,24,2,0,Aston Villa
2,Matty Cash,4,4,38,8,0,Aston Villa
6,Douglas Luiz,2,3,34,7,0,Aston Villa
19,Marvelous Nakamba,0,0,16,5,0,Aston Villa
7,John McGinn,3,4,35,8,0,Aston Villa
41,Jacob Ramsey,6,1,34,6,0,Aston Villa
8,Morgan Sanson,0,0,10,0,0,Aston Villa
31,Leon Bailey,1,2,18,3,0,Aston Villa
23,Phillipe Coutinho,5,3,19,0,0,Aston Villa
10,Emiliano Buendia,4,6,35,1,0,Aston Villa
11,Ollie Watkins,11,2,35,7,0,Aston Villa
20,Danny Ings,7,6,30,4,0,Aston Villa
35,Cameron Archer,0,0,3,0,0,Aston Villa
