player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,David Raya,0,0,24,1,0,Brentford FC
40,Alvaro Fernandez,0,0,12,0,0,Brentford FC
49,Jonas Lossl,0,0,2,0,0,Brentford FC
25,Ellery Balcombe,0,0,15,1,0,Brentford FC
20,Kristoffer Ajer,1,2,24,5,0,Brentford FC
5,Ethan Pinnock,1,1,32,1,0,Brentford FC
18,Pontus Jansson,3,2,37,7,0,Brentford FC
29,Mads Bech Sorensen,0,0,11,3,0,Brentford FC
22,Zanka,1,0,8,2,0,Brentford FC
4,Charlie Goode,0,0,2,0,1,Brentford FC
23,Julian Jeanvier,0,0,0,0,0,Brentford FC
3,Rico Henry,3,0,34,2,0,Brentford FC
2,Dominic Thompson,0,0,17,3,0,Brentford FC
30,Mads Roerslev Rasmussen,1,1,21,1,0,Brentford FC
36,Fin Stevens,0,0,1,0,0,Brentford FC
6,Christian Norgaard,3,4,35,8,0,Brentford FC
27,Vitaly Janelt,4,0,31,3,0,Brentford FC
10,Josh Dasilva,0,0,9,0,0,Brentford FC
8,Mathias Jensen,0,1,31,0,0,Brentford FC
15,Frank Onyeka,0,0,20,4,0,Brentford FC
26,Shandon Baptiste,1,0,22,0,1,Brentford FC
21,Christian Eriksen,1,4,11,1,0,Brentford FC
14,Saman Ghoddos,1,2,17,2,0,Brentford FC
11,Yoane Wissa,7,1,30,0,0,Brentford FC
24,Tarie Fosu,0,0,1,0,0,Brentford FC
19,Bryan Mbeumo,4,7,35,4,0,Brentford FC
7,Segi Canos,3,2,31,6,1,Brentford FC
17,Ivan Toney,12,5,33,8,0,Brentford FC
9,Marcus Forss,1,1,11,1,0,Brentford FC
