player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Nick Pope,0,36,1,0,0,Burnley FC
13,Wayne Hennessey,0,0,2,0,0,Burnley FC
25,Will Norris,0,0,0,0,0,Burnley FC
2,James Tarkowski,1,2,35,11,0,Burnley FC
4,Nathan Collins,2,0,19,2,1,Burnley FC
16,Ben Mee,3,0,21,3,0,Burnley FC
28,Kevin Long,0,0,6,1,0,Burnley FC
3,Charlie Taylor,0,3,31,3,0,Burnley FC
15,Erik Pieters,0,1,12,1,0,Burnley FC
14,Connor Roberts,1,1,21,2,0,Burnley FC
2,Matthew Lowton,1,2,25,3,1,Burnley FC
26,Phil Bardsley,0,0,0,0,0,Burnley FC
18,Ashley Westwood,0,3,27,7,0,Burnley FC
4,Jack Cork,1,0,20,4,0,Burnley FC
8,Josh Brownhill,2,3,35,10,0,Burnley FC
16,Dale Stephens,0,0,3,1,0,Burnley FC
11,Dwight McNeil,0,1,38,1,0,Burnley FC
20,Maxwel Cornet,9,1,26,2,0,Burnley FC
7,Joshann Berg Gudmundsson,0,1,18,2,0,Burnley FC
17,Aaron Lennon,2,0,28,2,0,Burnley FC
9,Wout Weghorst,2,3,20,3,0,Burnley FC
19,Jay Rodriguez,2,2,29,3,0,Burnley FC
27,Matej Vydra,2,3,22,1,0,Burnley FC
10,Ashley Barnes,1,0,23,4,0,Burnley FC
