player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
16,Edouard Mendy,0,0,34,3,0,Chelsea FC
1,Kepa Arrizabalaga,0,0,4,0,0,Chelsea FC
13,Marcus Bettinelli,0,0,0,0,0,Chelsea FC
2,Antonio Rudiger,3,2,34,9,0,Chelsea FC
4,Andreas Christensen,0,0,19,2,0,Chelsea FC
14,Trevoh Chalobah,3,1,20,2,0,Chelsea FC
31,Malang Sarr,0,0,8,2,0,Chelsea FC
6,Thiago Silva,3,1,32,2,0,Chelsea FC
35,Jake Clarke Salter,0,0,0,0,0,Chelsea FC
21,Ben Chillwell,3,1,7,0,0,Chelsea FC
3,Marcos Alonso,4,5,28,8,0,Chelsea FC
24,Reece James,5,9,26,4,1,Chelsea FC
28,Cesar Azpilicueta,1,2,27,3,0,Chelsea FC
5,Jorginho,6,2,29,5,0,Chelsea FC
7,NGolo Kante,2,4,26,2,0,Chelsea FC
8,Mateo Kovacic,2,5,25,4,0,Chelsea FC
17,Saul Niguez,0,0,10,1,0,Chelsea FC
12,Ruben Loftus Cheek,0,3,24,1,0,Chelsea FC
18,Ross Barkley,1,0,6,0,0,Chelsea FC
19,Mason Mount,11,10,32,4,0,Chelsea FC
29,Kai Havertz,8,4,29,3,0,Chelsea FC
22,Hakim Ziyech,4,3,23,3,0,Chelsea FC
23,Kenedy,0,1,1,0,0,Chelsea FC
10,Christian Pulisic,6,2,22,2,0,Chelsea FC
20,Callum Hudson Odoi,1,3,15,1,0,Chelsea FC
9,Romelu Lukaku,8,1,26,1,0,Chelsea FC
11,Timo Werner,4,1,21,1,0,Chelsea FC
