player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Jack Butland,0,0,9,0,0,Crystal Palace
13,Vicente Guaita,0,0,30,2,0,Crystal Palace
19,Remi Matthews,0,0,0,0,0,Crystal Palace
6,Marc Guehi,2,1,36,4,0,Crystal Palace
16,Joachim Anderson,0,3,34,4,0,Crystal Palace
36,Nathan Feguson,0,0,2,1,0,Crystal Palace
5,James Tomkins,1,0,8,2,0,Crystal Palace
33,Jaroslaw Jach,0,0,1,0,0,Crystal Palace
3,Tyrick Mitchell,0,2,36,1,0,Crystal Palace
2,Joel Ward,0,0,28,8,0,Crystal Palace
17,Nathaniel Clyne,0,1,16,1,0,Crystal Palace
34,Martin Kelly,0,0,0,0,0,Crystal Palace
44,Jairo Riedewald,1,0,2,0,0,Crystal Palace
4,Luka Milivojevic,0,0,15,1,0,Crystal Palace
8,Cheikhou Kouyate,0,1,27,3,0,Crystal Palace
12,Will Hughes,0,1,16,6,0,Crystal Palace
18,James McArthur,0,4,21,3,0,Crystal Palace
7,Michael Olise,2,5,26,4,0,Crystal Palace
15,Jeffrey Schlupp,4,2,32,1,0,Crystal Palace
10,Eberechi Eze,1,1,13,1,0,Crystal Palace
11,Wilfried Zaha,14,1,33,4,1,Crystal Palace
22,Odsone Edouard,6,3,28,4,0,Crystal Palace
14,Jean Philippe Mateta,5,1,22,2,0,Crystal Palace
9,Jordan Ayew,3,3,31,2,0,Crystal Palace
20,Christian Benteke,1,0,7,2,0,Crystal Palace
