player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Jordan Pickford,0,0,35,0,0,Everton
15,Asmir Bggovic,0,0,3,0,0,Everton
31,Andy Lonergan,0,0,0,0,0,Everton
5,Michael Keane,3,2,32,2,1,Everton
13,Yerry Mina,0,0,13,3,0,Everton
22,Ben Godfrey,0,0,23,6,0,Everton
4,Mason Holgate,2,1,25,7,1,Everton
32,Jarrad Branthwaith,1,0,6,0,1,Everton
19,Vitaliy Mykolenko,1,0,13,0,0,Everton
3,Nathan Patterson,0,0,0,0,0,Everton
2,Jonjow Kenny,0,1,15,1,1,Everton
23,Seamus Coleman,1,1,30,4,0,Everton
6,Allan,0,2,28,7,1,Everton
16,Abdoulaye Doucoure,2,4,30,6,0,Everton
21,Andre Gomez,0,1,14,3,0,Everton
26,Tom Davis,1,0,6,1,0,Everton
8,Fabian Delph,0,0,11,2,0,Everton
17,Alex Iwobi,2,2,28,1,0,Everton
36,Dele Alli,1,0,21,4,0,Everton
10,Gylfi Sigurdsson,0,0,0,0,0,Everton
11,Demarain Grey,5,4,34,3,0,Everton
24,Anthony Gordon,4,2,35,4,0,Everton
34,Anwar El Ghazi,1,1,11,2,0,Everton
14,Andros Townsend,3,2,21,3,0,Everton
7,Richarlison,10,5,30,8,0,Everton
9,Dominic Calvert Lewin,5,2,17,2,0,Everton
33,Salomon Rondon,1,1,20,2,1,Everton
28,Cenk Tosun,0,0,1,0,0,Everton
