player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Illan Meslier,0,0,38,2,0,Leeds United
13,Kristoffer Klaesson,0,0,1,0,0,Leeds United
14,Diego Llorente,3,0,28,7,0,Leeds United
5,Robin Koch,0,0,20,3,0,Leeds United
21,Pascal Struijk,1,0,29,6,1,Leeds United
6,Liam Cooper,0,1,21,5,0,Leeds United
35,Charlie Cresswell,0,0,5,1,0,Leeds United
3,Junior Firpo,0,2,24,11,0,Leeds United
33,Leo Fuhr Hjelde,0,0,2,0,0,Leeds United
45,Liam McCarron,1,1,21,1,0,Leeds United
2,Luke Ayling,2,2,26,4,1,Leeds United
15,Stuart Dallas,1,1,34,5,0,Leeds United
23,Kalvin Phillips,0,1,20,4,0,Leeds United
43,Mateusz Klich,1,2,33,5,0,Leeds United
46,Jamie Shackleton,0,0,14,4,0,Leeds United
4,Adam Forshaw,0,1,22,5,0,Leeds United
22,Jack Harrison,8,1,35,3,0,Leeds United
10,Raphinha,11,3,35,7,0,Leeds United
20,Daniel James,4,5,32,7,1,Leeds United
38,Crysencio Summerville,6,1,13,2,0,Leeds United
19,Rodrigo,6,1,31,9,0,Leeds United
9,Patrick Bamford,2,2,9,1,0,Leeds United
11,Tyler Roberts,1,1,23,5,0,Leeds United
30,Joe Gelhardt,2,4,20,4,0,Leeds United
42,Sam Greenwood,0,2,7,0,0,Leeds United
