player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
12,Danny Ward,0,0,1,0,0,Leicester City
1,Kasper Schmeichel,0,0,37,1,0,Leicester City
35,Eldin Jakupovic,0,0,0,0,0,Leicester City
3,Wesley Fofana,0,0,7,2,0,Leicester City
4,Caglar Soyuncu,1,0,28,5,0,Leicester City
23,Jannik Vestergaard,0,0,10,2,0,Leicester City
18,Daniel Amartey,0,0,28,4,0,Leicester City
6,Johnny Evnas,1,1,18,3,0,Leicester City
41,Sam Hughes,0,0,0,0,0,Leicester City
33,Luke Thomas,0,1,22,2,0,Leicester City
5,Ryna Bertrand,0,0,4,1,0,Leicester City
27,Timothy Castagne,1,0,27,1,0,Leicester City
2,James Justin,0,0,13,0,0,Leicester City
21,Ricardo Pereira,1,3,14,3,0,Leicester City
25,Wilfred Ndidi,0,0,19,4,0,Leicester City
42,Boubakary Soumare,0,1,19,0,0,Leicester City
24,Nampalys Mendy,0,0,14,3,0,Leicester City
8,Youri Tielemans,6,4,32,3,0,Leicester City
20,Hamza Choudhury,0,0,6,1,0,Leicester City
11,Marc Albrighton,1,2,17,3,0,Leicester City
7,Harvey Barnes,6,10,32,2,0,Leicester City
10,James Maddison,12,8,35,3,0,Leicester City
37,Ademola Lookman,6,0,26,2,0,Leicester City
17,Ayoze Perez,2,3,14,0,1,Leicester City
14,Kelechi Iheanacho,4,5,26,1,0,Leicester City
29,Patson Daka,5,3,23,2,0,Leicester City
9,Jamie Vardy,15,2,25,2,0,Leicester City
