player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Alisson,0,1,36,0,0,Liverpool FC
62,Caoimhin Kelleher,0,0,2,0,0,Liverpool FC
22,Loris Karius,0,0,0,0,0,Liverpool FC
13,Adrian,13,0,0,0,0,Liverpool FC
4,Virgil Van Dijk,3,4,24,3,0,Liverpool FC
5,Ibrahima Konate,0,0,11,2,0,Liverpool FC
12,Joe Gomez,0,1,8,2,0,Liverpool FC
32,Joel Matip,3,3,31,2,0,Liverpool FC
47,Nathaneil Phillips,0,0,0,0,0,Liverpool FC
72,Sepp Van Den Berg,0,0,0,0,0,Liverpool FC
46,Rhys Williams,0,0,0,0,0,Liverpool FC
28,Ben Davies,0,0,0,0,0,Liverpool FC
26,Andrew Robertson,3,10,29,5,1,Liverpool FC
21,Konstantinos Tsimikas,0,2,13,3,0,Liverpool FC
66,Trent Alexander Arnold,2,12,32,2,0,Liverpool FC
76,Neco Williams,0,1,1,0,0,Liverpool FC
3,Fabinho,5,1,29,7,0,Liverpool FC
17,Curtis Jones,1,1,15,0,0,Liverpool FC
8,Naby Keita,3,1,23,3,0,Liverpool FC
6,Thiago,1,4,25,2,0,Liverpool FC
15,Alex Oxlade Chamberlain,2,1,17,0,0,Liverpool FC
14,Jordan Henderson,2,5,35,3,0,Liverpool FC
7,James Milner,0,1,24,2,0,Liverpool FC
67,Harvey Elliot,0,0,6,0,0,Liverpool FC
58,Ben Woodburn,0,0,0,0,0,Liverpool FC
10,Sadio Mane,16,4,34,5,0,Liverpool FC
23,Luis Diaz,4,3,13,0,0,Liverpool FC
20,Diogo Jota,15,6,35,3,0,Liverpool FC
18,Takumi Minamino,3,0,11,1,0,Liverpool FC
54,Sheyi Ojo,0,0,0,0,0,Liverpool FC
11,Mohamed Salah,23,14,35,1,0,Liverpool FC
9,Roberto Firmino,5,4,20,3,0,Liverpool FC
27,Divock Origi,3,1,7,0,0,Liverpool FC
