player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
31,Ederson Moraes,0,0,37,3,0,Manchester City
13,Zack Steffen,0,0,1,0,0,Manchester City
33,Scott Carson,0,0,0,0,0,Manchester City
3,Ruben Dias,2,4,29,5,0,Manchester City
14,Aymeric Laporte,4,0,33,5,1,Manchester City
5,John Stones,1,0,14,0,0,Manchester City
6,Nathan Ake,2,0,14,0,0,Manchester City
11,Oleksandr Zinchenko,0,4,15,0,0,Manchester City
22,Benjamin Mendy,0,0,1,0,0,Manchester City
27,Joao Cancelo,1,7,36,7,0,Manchester City
2,Kyle Walker,0,2,20,1,0,Manchester City
16,Rodri,7,2,33,5,0,Manchester City
25,Fernandinho,2,1,19,1,0,Manchester City
47,Phil Foden,9,5,28,1,0,Manchester City
8,Ilkay Gundogan,8,3,27,1,0,Manchester City
17,Kevin De Bruyne,15,8,30,2,0,Manchester City
20,Bernardo Silva,8,4,35,6,0,Manchester City
80,Cole Palmer,0,0,4,0,0,Manchester City
7,Raheem Sterling,13,6,30,1,0,Manchester City
10,Jack Grealish,3,3,26,3,0,Manchester City
26,Riyad Mahrez,11,5,28,0,0,Manchester City
9,Gabriel Jesus,8,9,28,1,0,Manchester City
