player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
26,Dean Henderson,0,0,0,0,0,Manchester United
1,David De Gea,0,0,38,0,0,Manchester United
22,Tom Heaton,0,0,0,0,0,Manchester United
13,Lee Grant,0,0,0,0,0,Manchester United
19,Raphael Varane,1,1,22,0,0,Manchester United
5,Harry Maguire,1,0,30,7,1,Manchester United
2,Victor Lindelof,0,2,28,4,0,Manchester United
3,Eric Bailly,0,0,4,1,0,Manchester United
4,Phil Jones,0,0,4,0,0,Manchester United
43,Teden Mengi,0,0,0,0,0,Manchester United
23,Luke Shaw,0,3,20,8,0,Manchester United
27,Alex Telles,0,4,21,1,0,Manchester United
33,Brandon Williams,0,1,26,8,0,Manchester United
29,Aaron Wan Bissaka,0,0,20,2,0,Manchester United
20,Diogo Dalot,0,0,24,4,0,Manchester United
39,Scott McTominay,1,1,30,9,0,Manchester United
37,James Garner,0,0,0,0,0,Manchester United
31,Nemanja Matic,0,4,23,3,0,Manchester United
6,Paul Pogba,1,9,20,7,1,Manchester United
34,Donny Van De Beek,1,0,8,0,0,Manchester United
17,Fred,4,5,28,5,0,Manchester United
18,Bruno Fernandes,10,6,26,10,0,Manchester United
14,Jesse Lingard,2,0,16,1,0,Manchester United
46,Hannibal Mejbri,0,0,2,2,0,Manchester United
8,Juan Mata,0,0,7,0,0,Manchester United
25,Jadon Sancho,3,3,29,0,0,Manchester United
10,Marcus Rashford,4,2,25,2,0,Manchester United
36,Anthony Elanga,2,2,21,0,0,Manchester United
16,Amad Diallo,0,0,0,0,0,Manchester United
47,Shola Shoretire,0,0,1,0,0,Manchester United
44,Tahith Chong,0,0,0,0,0,Manchester United
11,Mason Greenwood,5,1,18,1,0,Manchester United
7,Cristiano Ronaldo,18,3,30,8,0,Manchester United
21,Edinson Cavani,2,1,15,0,0,Manchester United
9,Anthony Martial,1,0,8,0,0,Manchester United
