player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Martin Dubravka,0,0,26,1,0,Newcastle United
26,Karl Darlow,0,0,8,1,0,Newcastle United
29,Mark Gillespie,0,0,0,0,0,Newcastle United
33,Dan Burn,0,1,16,4,0,Newcastle United
6,Jamaal Lascelles,1,0,26,5,0,Newcastle United
5,Fabian Sch?,2,2,25,4,0,Newcastle United
2,Ciaran Clark,0,1,13,2,1,Newcastle United
18,Federico Fern?dez,0,0,7,0,0,Newcastle United
12,Jamal Lewis,0,0,5,1,0,Newcastle United
3,Paul Dummett,0,0,3,2,0,Newcastle United
15,Kieran Trippier,2,0,6,0,0,Newcastle United
17,Emil Krafth,0,1,20,5,0,Newcastle United
19,Javier Manquillo,1,2,19,5,0,Newcastle United
39,Bruno Guimaraes,5,1,17,4,0,Newcastle United
14,Isaac Hayden,1,0,14,5,0,Newcastle United
28,Joe Willock,2,0,29,0,0,Newcastle United
36,Sean Longstaff,1,1,24,1,0,Newcastle United
8,Jonjo Shelvey,2,1,24,5,1,Newcastle United
16,Jeff Hendrick,1,0,3,0,0,Newcastle United
4,Matty Longstaff,0,0,0,0,0,Newcastle United
11,Matt Ritchie,0,2,18,5,0,Newcastle United
7,Joelinton,4,1,35,8,0,Newcastle United
24,Miguel Almir?,1,0,30,2,0,Newcastle United
10,Allan Saint Maximin,5,5,25,6,0,Newcastle United
21,Ryan Fraser,2,3,27,3,0,Newcastle United
23,Jacob Murphy,1,2,33,4,0,Newcastle United
9,Callum Wilson,8,0,18,4,0,Newcastle United
20,Chris Wood,5,0,34,1,0,Newcastle United
34,Dwight Gayle,0,0,8,1,0,Newcastle United
