player_number,name,goals,assists,appearances,yellow_cards,red_cards
1,Alex McCarthy,0,0,17,1,0
44,Fraser Foster,0,0,19,1,0
13,Willy Caballlero,0,0,2,1,0
41,Harry Lewis,0,0,5,0,1
35,Jan Bednarek,4,0,31,10,0
22,Mohammed Salisu,0,0,34,8,1
5,Jack Stephens,0,0,11,3,0
4,Lyanco,0,0,15,2,0
15,Romain Perraud,0,1,20,3,0
21,Tino Livramento,1,2,28,2,0
2,Kyle Walker Peters,1,2,32,5,0
43,Yan Valery,0,0,5,0,0
27,Ibrahima Diallo,0,2,23,1,0
6,Oriol Romeu,2,2,36,9,0
8,James Ward Prowse,10,5,36,3,1
17,Stuart Armstrong,2,1,25,1,0
20,Will Smallbone,0,0,4,0,0
11,Nathan Redmond,1,5,27,0,0
24,Mohamed Elyounoussi,4,2,30,4,0
19,Moussa Djenepo,0,0,12,3,0
23,Nathan Tella,0,1,14,2,0
32,Theo Walcott,0,0,9,0,0
10,Che Adams,7,3,30,0,0
9,Adam Armstrong,2,3,23,1,0
7,Shane Long,1,0,13,1,0

