player_number,name,goals,assists,appearances,yellow_cards,red_cards
22,Peirluigi Gollini,0,0,0,0,0
1,Hugo Lloris,0,0,38,2,0
40,Brandon Austin,0,0,0,0,0
4,Cristian Romero,1,0,22,8,0
6,Davinson Sanchez,2,0,23,4,0
15,Eric Dier,0,0,35,1,0
25,Japhet Tanganga,0,0,11,2,1
14,Joe Rodon,0,0,3,0,0
20,Cameron Carter Vickers,0,0,0,0,0
3,Sergio Reguilon,2,3,25,4,0
33,Ben Davies,1,1,29,6,0
12,Emerson Royal,1,1,31,5,0
2,Matt Doherty,2,4,15,0,0
29,Oliver Skipp,0,0,18,6,0
8,Harry Winks,0,0,15,5,0
5,Pierre Emile Hojbjerg,2,2,36,3,0
30,Rodrigo Bentancur,0,4,17,5,0
19,Ryan Sessegnon,0,2,15,2,0
7,Heung min Son,23,9,35,2,0
23,Steven Bergwijn,3,1,25,1,0
47,Jack Clarke,0,0,0,0,0
21,Dejan Kulusevski,5,8,18,3,0
27,Lucas Moura,2,6,34,4,0
10,Harry Kane,17,9,37,5,0
