player_number,name,goals,assists,appearances,yellow_cards,red_cards
13,Alphonse Areola,0,0,1,0,0
1,Lukasz Fabianski,0,0,37,2,0
35,Darren Randolph,0,0,0,0,0
25,David Martin,0,0,0,0,0
4,Kurt Zouma,1,0,24,1,0
23,Issa Diop,0,1,13,0,0
15,Craig Dawson,2,2,34,0,0
21,Angelo Ogbonna,1,0,11,1,0
42,Aji Alese,0,0,0,0,0
26,Arthur Masuaku,1,1,13,1,0
3,Aaron Cresswell,2,3,31,3,0
5,Vladimir Coufal,0,4,28,3,1
31,Ben Johnson,1,0,20,1,0
24,Ryan Fredericks,0,0,7,1,0
41,Declan Rice,1,4,36,8,0
28,Tomas Soucek,5,1,35,3,0
33,Alex Kral,0,0,1,0,0
54,Conor Coventry,0,0,0,0,0
16,Mark Noble,1,0,11,0,0
8,Pablo Fornals,6,4,36,4,0
11,Nikola Vlasic,1,0,19,0,0
10,Manuel Lanzini,5,3,30,2,0
27,Said Benrahma,8,6,32,0,0
20,Jarrod Bowen,12,12,36,6,0
7,Andriy Yarmolenko,1,0,19,1,0
9,Michail Antonio,10,8,36,6,1
