player_number,name,goals,assists,appearances,yellow_cards,red_cards,Team
1,Jose Sa,0,0,37,3,0,Wolverhampton Wanderers
21,John Ruddy,0,0,2,0,0,Wolverhampton Wanderers
13,Loiue Moulden,0,0,0,0,0,Wolverhampton Wanderers
16,Conor Coady,4,0,38,4,0,Wolverhampton Wanderers
23,Max Kilman,1,0,30,3,0,Wolverhampton Wanderers
27,Romain Saiss,2,0,31,6,0,Wolverhampton Wanderers
15,Willy Boly,0,0,10,1,0,Wolverhampton Wanderers
14,Yerson Mosquera,0,0,0,0,0,Wolverhampton Wanderers
24,Toti,0,0,4,1,0,Wolverhampton Wanderers
3,Rayan Ait Nouri,1,4,23,4,0,Wolverhampton Wanderers
19,Jonny Otto,2,0,13,1,0,Wolverhampton Wanderers
5,Marcal,0,0,18,3,0,Wolverhampton Wanderers
22,Nelson Semedo,0,1,25,1,0,Wolverhampton Wanderers
2,Ki Jana Hoever,0,0,8,1,0,Wolverhampton Wanderers
8,Ruben Neves,4,2,33,9,0,Wolverhampton Wanderers
32,Leander Dendoncker,2,2,30,4,0,Wolverhampton Wanderers
28,Joao Moutinho,2,1,35,4,0,Wolverhampton Wanderers
39,Luke Cundle,0,0,4,0,0,Wolverhampton Wanderers
56,Connor Ronan,0,0,0,0,0,Wolverhampton Wanderers
18,Morgan Gibbs,0,0,2,1,0,Wolverhampton Wanderers
7,Pedro Neto,1,1,13,3,0,Wolverhampton Wanderers
20,Chiquinho,0,3,8,0,0,Wolverhampton Wanderers
10,Daniel Podence,2,3,26,2,0,Wolverhampton Wanderers
11,Francisco Trinca,2,1,28,0,0,Wolverhampton Wanderers
9,Raul Jimenez,6,4,34,5,2,Wolverhampton Wanderers
26,Hee chan Hwang,5,1,30,2,0,Wolverhampton Wanderers
17,Fabio Silva,0,0,22,0,0,Wolverhampton Wanderers
